Date_Hour;Date;Hour;Temperature;Humidity;Wind_speed;Visibility;Dew_point_temperature;Solar_Radiation;Rainfall;Snowfall
2017-12-01T00:00:00.000Z;2017-12-01;0;-5.2;37;2.2;2000;-17.6;0;0;0
2017-12-01T01:00:00.000Z;2017-12-01;1;-5.5;38;0.8;2000;-17.6;0;0;0
2017-12-01T02:00:00.000Z;2017-12-01;2;-6;39;1;2000;-17.7;0;0;0
2017-12-01T03:00:00.000Z;2017-12-01;3;-6.2;40;0.9;2000;-17.6;0;0;0
2017-12-01T04:00:00.000Z;2017-12-01;4;-6;36;2.3;2000;-18.6;0;0;0
2017-12-01T05:00:00.000Z;2017-12-01;5;-6.4;37;1.5;2000;-18.7;0;0;0
2017-12-01T06:00:00.000Z;2017-12-01;6;-6.6;35;1.3;2000;-19.5;0;0;0
2017-12-01T07:00:00.000Z;2017-12-01;7;-7.4;38;0.9;2000;-19.3;0;0;0
2017-12-01T08:00:00.000Z;2017-12-01;8;-7.6;37;1.1;2000;-19.8;0.01;0;0
2017-12-01T09:00:00.000Z;2017-12-01;9;-6.5;27;0.5;1928;-22.4;0.23;0;0
2017-12-01T10:00:00.000Z;2017-12-01;10;-3.5;24;1.2;1996;-21.2;0.65;0;0
2017-12-01T11:00:00.000Z;2017-12-01;11;-0.5;21;1.3;1936;-20.2;0.94;0;0
2017-12-01T12:00:00.000Z;2017-12-01;12;1.7;23;1.4;2000;-17.2;1.11;0;0
2017-12-01T13:00:00.000Z;2017-12-01;13;2.4;25;1.6;2000;-15.6;1.16;0;0
2017-12-01T14:00:00.000Z;2017-12-01;14;3;26;2;2000;-14.6;1.01;0;0
2017-12-01T15:00:00.000Z;2017-12-01;15;2.1;36;3.2;2000;-11.4;0.54;0;0
2017-12-01T16:00:00.000Z;2017-12-01;16;1.2;54;4.2;793;-7;0.24;0;0
2017-12-01T17:00:00.000Z;2017-12-01;17;0.8;58;1.6;2000;-6.5;0.08;0;0
