Date	Temperature	Humidity	Wind.speed	Visibility	Dew.point.temperature
2017-12-01	-5.2	37	2.2	2000	-17.6
2017-12-01	-5.5	38	0.8	2000	-17.6
2017-12-01	-6	39	1	2000	-17.7
2017-12-01	-6.2	40	0.9	2000	-17.6
2017-12-01	-6	36	2.3	2000	-18.6
2017-12-01	-6.4	37	1.5	2000	-18.7
2017-12-01	-6.6	35	1.3	2000	-19.5
2017-12-01	-7.4	38	0.9	2000	-19.3
2017-12-01	-7.6	37	1.1	2000	-19.8
2017-12-01	-6.5	27	0.5	1928	-22.4
2017-12-01	-3.5	24	1.2	1996	-21.2
2017-12-01	-0.5	21	1.3	1936	-20.2
2017-12-01	1.7	23	1.4	2000	-17.2
2017-12-01	2.4	25	1.6	2000	-15.6
2017-12-01	3	26	2	2000	-14.6
2017-12-01	2.1	36	3.2	2000	-11.4
2017-12-01	1.2	54	4.2	793	-7
2017-12-01	0.8	58	1.6	2000	-6.5
2017-12-01	0.6	66	1.4	2000	-5
2017-12-01	0	77	1.7	2000	-3.5
2017-12-01	-0.3	79	1.5	1913	-3.5
2017-12-01	-0.8	81	0.8	1687	-3.6
2017-12-01	-0.9	83	1.5	1380	-3.4
2017-12-01	-1.3	84	1	1265	-3.6
2017-12-02	-1.8	87	1.1	994	-3.6
2017-12-02	-2.2	86	0.6	990	-4.2
2017-12-02	-2.9	86	1.5	1256	-4.9
2017-12-02	-3.5	81	2.2	1221	-6.2
2017-12-02	NA	79	2	1167	-6.9
2017-12-02	-4	79	1.5	1202	-7.1
2017-12-02	-4.3	82	2.1	1178	-6.9
2017-12-02	-4.4	81	2.5	1276	-7.1
2017-12-02	-4.2	79	2.1	1436	-7.3
2017-12-02	-2.9	68	1.6	1487	-7.9
2017-12-02	-0.4	57	1.6	1309	-7.8
2017-12-02	1.9	49	1.8	1406	-7.7
2017-12-02	4.3	41	1.3	1666	-7.8
2017-12-02	6	36	1.8	1780	-7.9
2017-12-02	7.3	35	1.3	1955	-7.1
2017-12-02	7.6	41	2.3	1953	-4.8
2017-12-02	6.4	48	2.6	1945	-3.8
2017-12-02	6	51	2.5	1891	-3.3
2017-12-02	5.5	53	1.5	1697	-3.3
2017-12-02	5	52	2.3	1666	-4
2017-12-02	4.6	51	1.2	1585	-4.6
2017-12-02	4.1	55	1.2	1448	-4.1
2017-12-02	3.5	54	1.5	1446	-4.9
2017-12-02	4	56	1	1352	-4
2017-12-03	4	58	1.4	1296	-3.5
2017-12-03	3.9	69	1.7	485	-1.2
2017-12-03	3.3	79	1.4	830	0
2017-12-03	3.4	71	1.6	1011	-1.3
2017-12-03	3.5	73	1	1060	-0.8
2017-12-03	3.9	75	1.9	914	-0.1
2017-12-03	3.4	86	2.5	278	1.2
2017-12-03	3.1	NA	1.2	129	1.7
2017-12-03	3.2	92	1.8	244	2
2017-12-03	3.5	91	1.8	231	NA
2017-12-03	4.4	89	2.2	257	2.7
2017-12-03	5.1	87	1.4	321	3.1
2017-12-03	5.8	85	1.7	349	3.4
2017-12-03	6.8	81	1.9	390	3.7
2017-12-03	7.6	76	1.2	422	3.6
2017-12-03	8	73	1.6	433	3.4
2017-12-03	7.6	77	1.6	399	3.8
2017-12-03	6.7	82	1.5	358	3.8
2017-12-03	6	84	1.9	327	3.4
2017-12-03	5.7	85	1.7	309	3.3
2017-12-03	5.2	87	1.4	253	3.2
2017-12-03	4.7	87	1.2	247	2.7
2017-12-03	4.3	89	1.8	201	2.6
2017-12-03	3.9	90	1.3	194	2.4
2017-12-04	4.2	88	0.6	216	2.3
2017-12-04	4.3	87	0.5	221	2.3
2017-12-04	4.4	87	1.8	207	2.4
2017-12-04	3.6	85	2.3	206	1.3
2017-12-04	2.8	89	1.5	130	1.1
2017-12-04	2	83	2.7	253	-0.5
2017-12-04	1.2	76	3.7	371	-2.5
2017-12-04	0.2	68	3.4	702	-5
2017-12-04	-0.8	69	3.5	954	NA
2017-12-04	-1.5	47	4.2	1888	-11.3
2017-12-04	-1.1	40	4.5	2000	-13
2017-12-04	-0.5	41	4.1	1799	-12.1
2017-12-04	-0.3	38	4.8	1823	-12.9
2017-12-04	0	30	5.4	1938	-15.5
2017-12-04	0.1	27	4.5	2000	-16.7
2017-12-04	-0.1	25	5.8	2000	-17.8
